9 6
0 0
0 1
0 2
1 0
1 1
1 2
2 0
2 1
2 2
1 3
1 7
7 9
3 9
2 5
4 5
---
1 0
1 1
---
6 4
0 0
0 1
0 3
1 0
1 2
1 3
4 1
1 2
5 2
4 5
---
4 2
0 0
0 1
1 1
1 0
1 2
3 4
---
9 6
0 0
0 1
0 2
1 0
1 1
1 2
2 0
2 1
2 2
3 5
3 7
3 6
3 9
5 6
7 9
---
3 3
0 1
0 2
0 3
1 2
2 3
1 3
---
16 8
0 0
0 1
0 2
0 3
1 0
1 1
1 2
1 3
2 0
2 1
2 2
2 3
3 0
3 1
3 2
3 3
1 4
5 8
9 12
13 16
1 13
2 14
3 15
4 16
---
16 7
0 0
0 1
0 2
0 3
1 0
1 1
1 2
1 3
2 0
2 1
2 2
2 3
3 0
3 1
3 2
3 3
2 5
5 14
14 15
15 12
12 2
15 16
16 12
---
5 6
0 6
0 0
4 3
4 0
8 0
1 2
1 5
2 3
3 4
4 5
2 4
